reporting_jurisdiction,partner_jurisdiction,year,total_revenues,related_party_revenues,unrelated_party_revenues,profit_before_tax,income_tax_paid,income_tax_accrued,stated_capital,accumulated_earnings,tangible_assets,num_employees,num_mne_groups,num_subgroups,num_entities,research_development,holding_equity,ip_management,purchasing,manufacturing,sales_marketing,admin_support,regulated_finance,internal_group_finance,insurance,services_unrelated,dormant,other_activity,profit_positive_panel,profit_negative_panel
USA,ABW,2016,13358119.201522436,6605026.806807087,6753092.394715348,1901265.593396598,288151.74128134776,362364.0834819748,11298791.451131681,7174723.826208888,22094672.511217397,363.6283042264418,2.0,2.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2154269.4365318036,-694188.7547817859
USA,ABW,2017,90817855.64306723,56972453.86975673,33845401.7733105,35746477.20125641,4796826.060178206,6294834.604955748,2115331.242495638,152814931.1806945,6420642.276374075,495.76426858282116,2.0,2.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,38925902.58388929,-9217041.606495125
USA,ABW,2018,31996960.80659251,20133092.96701723,11863867.83957528,372292.832347933,0.0,0.0,4737232.242271803,1140511.5886478673,10530609.493351566,132.92392309201202,2.0,2.0,5.0,3.0,5.0,8.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,1.0,6.0,0.0,420883.29020016285,-168750.0460116981
USA,ABW,2019,35450186.62516305,23908162.76660482,11542023.85855823,2457136.5011462374,55142.63139871487,63324.08370935325,1338079.057640291,12858209.77874997,2598742.251151432,199.09352951035285,1.0,1.0,2.0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2141903.882306235,-785601.2258994675
USA,ABW,2020,5807155.04262607,2343733.67403592,3463421.3685901496,2739040.694381058,0.0,0.0,1164630.3545986628,7666855.947335687,2981962.848697541,58.023065547387894,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,3099968.0472040186,-1119083.5286244326
USA,ABW,2021,3402187.4438269557,2871245.588215096,530941.8556118597,159110.20946274017,2104.2340329924887,2192.8459204153487,324659.9059719583,696542.2779334527,2435934.109865648,15.00711258932777,3.0,3.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,1.0,133758.9826771864,-67630.80475545161
USA,AIA,2016,47291919.06347099,20214080.24254684,27077838.820924144,12566519.355171412,1039952.6293075425,1253859.5996693794,11455567.253174923,48396147.4515107,21663897.478463437,344.3208729066797,3.0,3.0,7.0,1.0,7.0,12.0,2.0,2.0,1.0,2.0,7.0,10.0,2.0,0.0,8.0,1.0,10845467.417355744,-1464031.1428993521
USA,AIA,2017,56070112.39520602,21668342.079138663,34401770.31606736,34896430.41883028,5233612.349408097,5481640.72735346,26123201.97273354,158719278.6950731,49733202.25745837,897.6421758173736,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,29913525.50111347,-13942714.298216356
USA,AIA,2018,325125818.4695978,285453599.85665137,39672218.61294644,-32512581.846959785,0.0,0.0,1758209.768833039,-155816000.20659626,3617312.1648838883,711.0103723138728,3.0,3.0,4.0,1.0,4.0,4.0,3.0,1.0,2.0,0.0,2.0,6.0,3.0,1.0,2.0,0.0,6223278.195371822,-31574960.780524634
USA,AIA,2019,14047477.453286748,5343845.273591085,8703632.179695664,10622573.996311912,1778426.4084570175,2180899.8840134344,696387.3136573281,48776670.784545206,1544092.3054089963,377.28145896522784,3.0,3.0,5.0,1.0,12.0,3.0,1.0,0.0,1.0,2.0,3.0,9.0,1.0,0.0,5.0,2.0,10402668.075176153,-2407688.425149361
USA,AIA,2020,135906616.6726037,57728763.12535883,78177853.54724488,63909216.49539904,3341557.7900458504,4000900.57466798,8004823.346539044,190108817.28731528,56349111.59599108,1622.233608302076,4.0,4.0,6.0,3.0,9.0,7.0,2.0,0.0,0.0,0.0,4.0,14.0,4.0,2.0,2.0,4.0,71416814.95178771,-5634790.7814915385
USA,AIA,2021,19748724.772296466,11270634.141152663,8478090.631143803,331352.48187970667,40174.01996061283,52056.39379024505,8470615.696580773,727601.9508473388,16926478.408187892,108.21675457603735,3.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,5.0,2.0,343972.0862708215,-75073.2368326219
USA,AND,2016,24437331.10625703,19889538.885183528,4547792.221073501,14583078.608474862,981945.4834158893,1277300.1997862097,24366897.06078357,45764085.013269626,65780330.08184857,147.2890327787465,10.0,10.0,22.0,7.0,24.0,19.0,12.0,3.0,4.0,5.0,5.0,25.0,5.0,2.0,20.0,7.0,15652067.022634251,-2227037.2618958117
USA,AND,2017,27954860.539543357,279548.60539543355,27675311.934147924,-3387441.3977150973,0.0,0.0,282227.77980832587,-17793001.319310103,1005199.0977757426,353.3160837939059,4.0,4.0,9.0,6.0,18.0,18.0,3.0,4.0,3.0,5.0,11.0,13.0,7.0,7.0,16.0,7.0,816171.0329575298,-3703821.5200637635
USA,AND,2018,153033173.500003,149972510.03000295,3060663.470000063,90688891.5139191,0.0,0.0,9894025.93816536,228938191.1813845,33307219.837681666,254.1292334022807,3.0,3.0,5.0,4.0,6.0,7.0,8.0,1.0,1.0,4.0,6.0,7.0,4.0,6.0,9.0,2.0,107129174.18657327,-11210017.148272954
USA,AND,2019,125899703.74114397,72889650.62867096,53010053.11247301,49561553.304428756,3226512.525475733,4502409.669998754,11244945.696338108,246145399.21472692,22085552.006292675,526.5840467809478,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,52184009.98013137,-11241419.003156658
USA,AND,2020,39188357.22264814,13681539.494707162,25506817.727940977,14910620.400637744,2109715.8545602662,2143685.4359029075,9179868.813175924,83051421.41395508,28261720.74396319,545.5849160421205,2.0,2.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,15911714.437497212,-1613526.8653797742
USA,AND,2021,211332586.8040424,198927426.901713,12405159.902329376,69524352.08428632,11345488.466743145,13159296.859515753,3972798.8759433688,145508234.6211438,8973739.544835567,171.39902930048152,2.0,2.0,4.0,0.0,9.0,9.0,0.0,1.0,0.0,2.0,3.0,5.0,2.0,0.0,4.0,0.0,77609699.78885315,-11943203.872127688
USA,ANT,2016,61339788.814682744,36312899.60364626,25026889.21103648,22676097.26735031,999475.1651418132,1205950.5038371328,78535.79102171272,111370776.30591576,532086.9507440218,282.4536434942266,2.0,2.0,4.0,1.0,4.0,9.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,5.0,1.0,24964831.27017437,-6278566.246344877
USA,ANT,2017,23983050.74656022,13354731.448879523,10628319.297680696,13291157.600120327,2154678.4463664005,3008265.9114082805,45138.39688551698,61327518.48523818,267715.83594961214,245.90250275484237,12.0,12.0,20.0,6.0,27.0,23.0,4.0,3.0,6.0,3.0,9.0,26.0,7.0,3.0,17.0,4.0,12532868.475080848,-2248375.1473468724
USA,ANT,2018,68974255.35478896,59522020.446175076,9452234.908613883,42866827.16703859,3724675.8185671056,4508437.788005118,1105790.003774907,93308240.34605117,1848100.7127580089,774.9409018173319,3.0,3.0,3.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,1.0,2.0,0.0,37140892.99866817,-16092258.828751814
USA,ANT,2019,26363070.551052175,10847756.316351362,15515314.234700814,17614022.7549777,3372277.5095629347,4618536.926297151,1948833.3670070798,35553468.02166355,5003567.638570622,277.72667229205376,6.0,6.0,9.0,0.0,13.0,5.0,4.0,1.0,6.0,3.0,8.0,8.0,1.0,3.0,7.0,1.0,14773304.673090382,-8389451.734948821
USA,ANT,2020,333944313.57373875,303056975.99716467,30887337.57657407,142453306.23368055,7568533.129147809,10470936.997740576,1308285.0338699932,687079079.2547436,10884269.805449022,347.6249137550629,6.0,6.0,7.0,2.0,9.0,5.0,1.0,6.0,5.0,3.0,2.0,7.0,4.0,0.0,3.0,3.0,159580958.4595527,-46725397.96868672
USA,ANT,2021,26767717.708681643,19497806.580513455,7269911.128168187,7600159.642926422,891781.0092866689,1124782.6566800731,655154.8772405371,28417293.214120932,1501179.6510845965,31.87080728405227,8.0,8.0,14.0,2.0,26.0,8.0,6.0,0.0,3.0,8.0,14.0,11.0,6.0,3.0,9.0,3.0,6467055.484759322,-2261867.2573161544
USA,ARE,2016,8440837.966563564,6616483.111205113,1824354.8553584507,5246253.2694439115,593457.7237438367,686526.1431332873,1928346.252327989,26268634.553715225,8746780.048410723,60.75128747983141,3.0,3.0,4.0,0.0,3.0,6.0,5.0,0.0,0.0,2.0,3.0,8.0,2.0,1.0,2.0,3.0,4599749.423766481,-676546.3866229766
USA,ARE,2017,61215198.46650243,35517483.35324916,25697715.113253266,22383527.269659907,3157870.202095904,3477490.5608549984,3243723.710614155,113873897.82827537,6648397.911602114,700.5443700315845,3.0,3.0,4.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,8.0,2.0,1.0,2.0,3.0,20361259.686400186,-3684949.9005274093
USA,ARE,2018,13297199.500403143,7710013.417170532,5587186.083232611,6616793.51770402,1139977.3172756834,1528024.282846243,223621763.52781385,19259134.236904453,426604099.0576696,271.01612418559495,2.0,2.0,3.0,0.0,4.0,9.0,0.0,0.0,1.0,1.0,3.0,8.0,1.0,1.0,4.0,2.0,7331918.334578238,-1333849.2639196697
USA,ARE,2019,50281034.563873336,28756805.752929926,21524228.81094341,21541820.89619167,0.0,0.0,1669972.0470596575,88891282.91493878,3538096.150139672,884.5609513206914,6.0,6.0,7.0,7.0,8.0,8.0,3.0,9.0,2.0,5.0,9.0,10.0,2.0,2.0,15.0,9.0,21676995.292575806,-5745552.9367145905
USA,ARE,2020,14287650.639898002,12718019.155595591,1569631.4843024104,5575688.904999405,384424.118337678,389367.67223126657,10954058.328528417,14592316.65238501,28452731.29415833,68.13964672979711,6.0,6.0,9.0,1.0,12.0,12.0,7.0,2.0,5.0,5.0,4.0,15.0,3.0,1.0,5.0,3.0,5448232.049397455,-458927.783780377
USA,ARE,2021,150580267.88800284,67239961.30668384,83340306.581319,29278465.47418386,187218.69831018132,224217.8762141794,985299.4965065368,114447520.05985034,3939055.8318046303,926.4207376725761,2.0,2.0,6.0,1.0,3.0,8.0,1.0,0.0,1.0,3.0,1.0,8.0,4.0,0.0,6.0,3.0,25994353.78299681,-7576242.960169089
USA,ATG,2016,12002033.21006373,7326368.964416526,4675664.245647203,4211056.285652836,17037.56084933266,18063.89184241584,8621740.57969706,19778408.18291234,59789681.689077504,79.66725426539375,7.0,7.0,14.0,1.0,17.0,11.0,6.0,2.0,2.0,5.0,5.0,13.0,5.0,3.0,16.0,5.0,4290203.572944907,-488627.62084188906
USA,ATG,2017,8841349.595290577,4027337.274353329,4814012.320937248,2897812.9334397824,583374.1275446774,700997.26423222,148004.62177699513,10706319.017477699,1018257.4654960267,39.40020376955275,5.0,5.0,12.0,4.0,20.0,10.0,4.0,0.0,3.0,5.0,6.0,14.0,5.0,4.0,11.0,2.0,3393534.1445819316,-489899.6905286631
USA,ATG,2018,18691961.791529395,8977762.114744622,9714199.676784772,-3738392.358305879,0.0,0.0,2173924.028559113,-18992389.740481373,3640593.0362905054,156.83608918441982,1.0,1.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,669302.3069084219,-4380796.1639409475
USA,ATG,2019,963794199.4545997,683997817.0916742,279796382.3629255,473153876.55809903,14539031.390176745,19742426.164272267,367130.6266382176,1558125778.5015237,1902357.2948509923,8227.03235104859,5.0,5.0,7.0,2.0,8.0,8.0,1.0,0.0,2.0,3.0,3.0,5.0,2.0,2.0,8.0,2.0,484889829.1171237,-50605560.821810305
USA,ATG,2020,47053359.285519905,31336120.60278067,15717238.682739235,17953004.049002495,1805434.9991389306,2426754.432172047,246250.36219406387,66083031.5682099,580506.9167180426,248.30578870775705,4.0,4.0,5.0,0.0,6.0,6.0,1.0,0.0,3.0,2.0,5.0,4.0,3.0,0.0,2.0,1.0,15785126.684702195,-5532008.164752964
USA,ATG,2021,21605049.32186739,20293409.066788085,1311640.2550793067,19143491.516319845,0.0,0.0,16809478.684160654,49782998.61655274,28272798.97504012,18.552671779694283,8.0,8.0,13.0,11.0,14.0,19.0,17.0,3.0,1.0,3.0,19.0,19.0,6.0,13.0,20.0,5.0,16830810.30882657,-7550088.736793956
USA,AUS,2016,130178585.66297635,53787802.77759642,76390782.88537993,-6328649.726847468,0.0,0.0,4522862.012717547,-29474923.33429077,11486315.996695705,1940.6644935524168,3.0,3.0,4.0,3.0,0.0,1.0,1.0,8.0,2.0,3.0,1.0,2.0,1.0,5.0,0.0,0.0,1341769.0704007524,-7452981.555147589
