reporting_jurisdiction,partner_jurisdiction,year,admin_support,dormant,regulated_finance,holding_equity,internal_group_finance,insurance,ip_management,manufacturing,other_activity,purchasing,research_development,sales_marketing,services_unrelated,tangible_assets,num_mne_groups,accumulated_earnings,num_employees,num_entities,profit_before_tax,adjusted_profit_before_tax,related_party_revenues,stated_capital,num_subgroups,income_tax_accrued,income_tax_paid,total_revenues,unrelated_party_revenues,profit_positive_panel,profit_negative_panel
ARE,AFG,2021,2.0,1.0,1.0,,,,,4.0,2.0,4.0,,2.0,2.0,78832974.0,5.0,-221400772.0,3564.0,18.0,-46006802.0,,4895573.0,48663869.0,5.0,0.0,42927479.0,148803203.0,143907630.0,17191709.0,-63198511.0
ARE,AGO,2021,,3.0,,,,,,,,,,,7.0,22250946.0,4.0,97444332.0,3249.0,10.0,17925795.0,,0.0,10236316.0,4.0,9822146.0,13390865.0,171764219.0,171764219.0,24771071.0,-6845276.0
ARE,ARE,2021,281.0,562.0,99.0,874.0,69.0,24.0,96.0,135.0,1004.0,216.0,48.0,525.0,529.0,342000000000.0,59.0,143000000000.0,581795.0,4462.0,31538024664.0,,56775290388.0,443000000000.0,59.0,61896681.0,136782996.0,257000000000.0,201000000000.0,41101926875.0,-9563902211.0
ARE,ARG,2021,2.0,1.0,,,,,,,2.0,,,2.0,9.0,150688454.0,6.0,107444651.0,2007.0,16.0,35504518.0,,0.0,92323233.0,6.0,13543107.0,7470407.0,297786434.0,297786434.0,39051883.0,-3547365.0
ARE,ARM,2021,,,,,,,,,1.0,1.0,,1.0,,4594136.0,2.0,-35219938.0,327.0,3.0,-321915.0,,0.0,29657109.0,2.0,0.0,0.0,12587092.0,12587092.0,,-321915.0
ARE,AUS,2021,7.0,15.0,,34.0,4.0,,1.0,2.0,9.0,1.0,,17.0,60.0,1473541064.0,14.0,-5826704291.0,11637.0,150.0,168802087.0,,128009651.0,13072424011.0,14.0,4979628.0,5564568.0,2292399983.0,2164390333.0,264704574.0,-95902487.0
ARE,AUT,2021,1.0,3.0,1.0,3.0,,,,,1.0,,4.0,2.0,3.0,18623945.0,6.0,3354172441.0,472.0,18.0,49254043.0,,19537940.0,283374372.0,6.0,25079297.0,10393607.0,211922961.0,192385021.0,52776131.0,-3522088.0
ARE,AZE,2021,,4.0,,,,,,,1.0,,,2.0,3.0,21765136.0,4.0,-84938014.0,872.0,10.0,9291076.0,,12315246.0,65157.0,4.0,11406842.0,12853066.0,242615798.0,230300554.0,9291076.0,0.0
ARE,BEL,2021,8.0,8.0,,2.0,,,,,,1.0,1.0,3.0,7.0,68359701.0,8.0,-49893123.0,1759.0,30.0,19246150.0,,28499789.0,209755076.0,8.0,3945204.0,3309998.0,398674045.0,370174256.0,30557937.0,-11311787.0
ARE,BEN,2021,,,,,,,,,2.0,,,,,106101964.0,1.0,-58581701.0,160.0,2.0,3015187.0,,3893970.0,21806399.0,1.0,2151140.0,77741.0,147351448.0,143457478.0,3015187.0,
ARE,BFA,2021,,,,,,,,,1.0,,,,,220336998.0,1.0,59598495.0,653.0,1.0,83168853.0,,16847624.0,62591815.0,1.0,23516292.0,23614687.0,285385798.0,268538174.0,83168853.0,
ARE,BGD,2021,,1.0,,,,,,,,,,,1.0,41183.0,2.0,-71556.0,80.0,2.0,113159.0,,360493.0,126518.0,2.0,237873.0,81675.0,6118279.0,5757786.0,113159.0,0.0
ARE,BGR,2021,,,,,,,,,,,1.0,,,2985555.0,1.0,1061753.0,217.0,1.0,891242.0,,9695369.0,501549.0,1.0,111793.0,109978.0,9892259.0,196890.0,891242.0,
ARE,BHR,2021,4.0,3.0,6.0,5.0,1.0,,,,9.0,3.0,,12.0,14.0,1094712297.0,22.0,185453111.0,5713.0,57.0,294431139.0,,141682806.0,98352572.0,22.0,12053469.0,14355008.0,1204578025.0,1062895220.0,310946088.0,-16514948.0
ARE,BHS,2021,5.0,2.0,,10.0,,,1.0,,3.0,,,1.0,1.0,0.0,4.0,118087808.0,0.0,23.0,-5092607.0,,133782.0,1605497216.0,4.0,0.0,0.0,396282.0,262500.0,,-5092607.0
ARE,BIH,2021,1.0,,,,,,1.0,2.0,,,,,,54091912.0,1.0,-26038063.0,156.0,4.0,-1816874.0,,601071.0,91074566.0,1.0,0.0,0.0,12032913.0,11431842.0,,-1816874.0
ARE,BLR,2021,,1.0,,,,,,,1.0,,,,,0.0,1.0,-292343.0,0.0,2.0,0.0,,0.0,42931.0,1.0,0.0,0.0,0.0,0.0,,0.0
ARE,BMU,2021,,2.0,,29.0,,1.0,,,,,,,,810586000.0,5.0,2554135807.0,0.0,32.0,888072605.0,,0.0,813274775.0,5.0,98475871.0,805672.0,291684942.0,291684942.0,888193279.0,-120674.0
ARE,BRA,2021,10.0,11.0,,,,,1.0,,16.0,,,,23.0,494307146.0,7.0,-1067892230.0,10771.0,61.0,-76646199.0,,19275149.0,254569892.0,7.0,4272506.0,1609058.0,293432802.0,274157653.0,172948.0,-76819147.0
ARE,BRB,2021,,,,,,1.0,,,,,,,,0.0,1.0,41554014.0,0.0,1.0,5971892.0,,627042.0,14683203.0,1.0,10646.0,10646.0,6165024.0,5537982.0,5971892.0,
ARE,CAF,2021,,,,,,,,,1.0,,,,,24854658.0,1.0,-17723566.0,60.0,1.0,-4986554.0,,110568.0,3691039.0,1.0,46802.0,0.0,6564807.0,6454239.0,,-4986554.0
ARE,CAN,2021,2.0,13.0,,10.0,8.0,,1.0,9.0,3.0,,1.0,3.0,27.0,9431352808.0,11.0,-2318451289.0,8863.0,77.0,2424931866.0,,3594349706.0,10357195221.0,11.0,313262931.0,2123869.0,7219774727.0,3625425022.0,2457776107.0,-32844241.0
ARE,CHE,2021,2.0,3.0,2.0,5.0,,,,,1.0,2.0,,6.0,7.0,224948536.0,13.0,120237003.0,1581.0,28.0,43823177.0,,150800784.0,283176196.0,13.0,1555120.0,5634214.0,1301024377.0,1150223593.0,63259378.0,-19436201.0
ARE,CHL,2021,5.0,,,,,,,,4.0,,,,10.0,464756351.0,2.0,575809025.0,5371.0,19.0,27355718.0,,69238378.0,512114500.0,2.0,1115392.0,1143572.0,445346847.0,376108469.0,27355718.0,
ARE,CHN,2021,10.0,8.0,,,,,,,6.0,1.0,4.0,15.0,21.0,7141883.0,16.0,-86077419.0,2190.0,65.0,-24454134.0,,62283072.0,119956150.0,16.0,1450122.0,1087641.0,348846572.0,286563500.0,9106051.0,-33560185.0
ARE,CIV,2021,2.0,,,1.0,,,,,1.0,,,2.0,3.0,219026341.0,4.0,353867.0,387.0,9.0,5414446.0,,4886638.0,38659651.0,4.0,19082874.0,14796617.0,361999547.0,357112909.0,5488949.0,-74503.0
ARE,CMR,2021,,1.0,,,,,,,,,,,,19331.0,1.0,0.0,0.0,1.0,-228491.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,-228491.0
ARE,COD,2021,,,,,,,,,,,,,2.0,0.0,2.0,-2644931.0,0.0,2.0,294650.0,,0.0,19414.0,2.0,0.0,0.0,412468.0,412468.0,294650.0,
ARE,COG,2021,,2.0,,,,,,,,,,,,0.0,2.0,-797206.0,0.0,2.0,93336.0,,0.0,3642.0,2.0,0.0,0.0,46668.0,46668.0,93336.0,
ARE,COL,2021,2.0,2.0,,,,,,3.0,,,,3.0,6.0,188362656.0,5.0,-383289781.0,340.0,16.0,-21205728.0,,-3264908.0,734453953.0,5.0,152212.0,653408.0,96420645.0,99685552.0,,-21205728.0
ARE,CRI,2021,,1.0,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0
ARE,CUW,2021,,,,4.0,,,,,1.0,,,,,57760.0,4.0,134441740.0,0.0,5.0,-9078783.0,,9583424.0,110889831.0,4.0,49460.0,0.0,9583424.0,0.0,,-9078783.0
ARE,CYM,2021,1.0,23.0,2.0,86.0,5.0,,11.0,1.0,289.0,,,4.0,5.0,6224592853.0,24.0,-6588666647.0,0.0,427.0,2306148983.0,,2474404225.0,36751627967.0,24.0,142372.0,18208685.0,4684189057.0,2209784832.0,3125784087.0,-819635104.0
